id,created_at,updated_at,post_id,prolific_id,session_id,condition,label
31,2024-10-15 17:36:12.563070+00:00,2024-10-15 17:36:12.563154+00:00,2663,66059aa0ce526bb967a61359,670ea7b0a139bbc8ce390731,label,6
32,2024-10-15 17:36:49.619443+00:00,2024-10-15 17:36:49.619511+00:00,2864,6647d385a03fca12ce7acc45,670ea7e1ebf53cf8ec59a194,no label,3
33,2024-10-15 17:37:01.739173+00:00,2024-10-15 17:37:01.739268+00:00,2445,5ce158b01d1060001a810a2d,670ea7e28cc653fcbf4b0c3c,label,5
34,2024-10-15 17:37:23.635977+00:00,2024-10-15 17:37:23.636048+00:00,2384,66da5b1cc2d9c3b39947324a,670ea81bb4e438ae46a92bd6,no label,6
35,2024-10-15 17:37:49.362663+00:00,2024-10-15 17:37:49.362774+00:00,2782,5d6c5cca8cb0f70001b1fac5,670ea843b0cb7bdc88c976e8,no label,2
36,2024-10-15 17:37:52.121944+00:00,2024-10-15 17:37:52.122039+00:00,2222,5a7e2829000dab00018c6081,670ea81ef8e780563c5d6886,no label,6
37,2024-10-15 17:39:03.458203+00:00,2024-10-15 17:39:03.458300+00:00,2244,5ea90125117dae3737b5e552,670ea83285b272bd88390543,no label,5
38,2024-10-15 17:41:27.220666+00:00,2024-10-15 17:41:27.220777+00:00,2354,61019fe1c6bc61fafe1c74fe,670ea91285b272bd8839057d,label,4
39,2024-10-15 17:43:52.945273+00:00,2024-10-15 17:43:52.945368+00:00,2650,5ecf40ccb218ec372490e3ea,670ea97bc56d28c4636cc8be,label,5
40,2024-10-15 17:44:40.470350+00:00,2024-10-15 17:44:40.470443+00:00,2920,60da4f9aa1ced7efeecca18a,670ea9b6f1a48a783a00ca0b,no label,5
41,2024-10-15 17:45:05.778363+00:00,2024-10-15 17:45:05.778460+00:00,2909,66350b4dc4c3fa6f738acc88,670ea9b78ce36e124113d8b8,no label,4
42,2024-10-15 17:45:35.014479+00:00,2024-10-15 17:45:35.014574+00:00,2434,5d76bf508da7af001b5fa26c,670eaa0dfb0c5edbfa3e125a,label,6
43,2024-10-15 17:45:36.237483+00:00,2024-10-15 17:45:36.237550+00:00,2098,5eace152e25d6800091dd418,670ea967a12f4285dba2ccca,no label,6
44,2024-10-15 17:46:13.875179+00:00,2024-10-15 17:46:13.875248+00:00,2204,5cb6d1aff4315f0001617ed5,670ea98d786618ac1b2f3b43,no label,1
45,2024-10-15 17:46:23.329480+00:00,2024-10-15 17:46:23.329572+00:00,2062,64c006c43b26c6796d9f6a23,670eaa2bb47a97b5a8d3a04b,no label,4
